N,Z,closure,intensity,pdf_ref,pdf_finite
128,15.0,corrected,0.9819162938115398,17.69932881152351,21.103045890662646
128,15.0,corrected,0.9833508467977223,22.124161014404386,19.060815643179165
128,15.0,corrected,0.984785399783905,21.443417598578222,22.1241610144061
128,15.0,corrected,0.9862199527700877,26.20862150937135,25.868249801457438
128,15.0,corrected,0.9876545057562702,15.997470271953942,15.657098564040028
128,15.0,corrected,0.9890890587424529,21.78378930649216,20.76267418275034
128,15.0,corrected,0.9905236117286356,19.741559059006992,21.783789306490473
128,15.0,corrected,0.9919581647148181,23.826019553973957,20.762674182748732
128,15.0,corrected,0.9933927177010008,19.74155905900852,21.78378930649216
128,15.0,corrected,0.9948272706871835,22.124161014404386,22.464532722318303
128,15.0,corrected,0.996261823673366,23.485647846060044,23.826019553973957
128,15.0,corrected,0.9976963766595487,26.20862150937338,23.48564784606186
128,15.0,corrected,0.9991309296457314,23.826019553973957,22.124161014404386
128,15.0,corrected,1.000565482631914,18.380072227351338,23.14527613814613
128,15.0,corrected,1.0020000356180967,21.443417598578222,19.74155905900852
128,15.0,corrected,1.003434588604279,16.67821368778306,18.7204439352667
128,15.0,corrected,1.0048691415904618,21.103045890661015,18.720443935263802
128,15.0,corrected,1.0063036945766446,17.35895710361094,19.74155905900852
128,15.0,corrected,1.0077382475628271,20.081930766919353,17.358957103608255
128,15.0,corrected,1.0091728005490097,14.29561173238548,14.29561173238548
128,15.0,corrected,1.0106073535351925,16.33784197986912,17.018585395697
128,15.0,corrected,1.012041906521375,17.018585395694366,16.678213687780477
128,15.0,corrected,1.0134764595075576,16.67821368778306,17.69932881152488
128,15.0,corrected,1.0149110124937404,16.33784197986912,16.67821368778306
128,15.0,corrected,1.016345565479923,15.657098564038817,14.976355148211042
128,15.0,corrected,1.0177801184661055,14.29561173238548,13.95524002447154
128,15.0,corrected,1.0192146714522883,11.57263806907396,12.25338148490184
128,15.0,corrected,1.0206492244384708,11.913009776986057,11.572638069072168
128,15.0,corrected,1.0220837774246534,13.6148683165576,13.95524002447154
128,15.0,corrected,1.0235183304108362,8.16892098993456,8.16892098993456
128,15.0,corrected,1.0249528833970187,6.807434158277746,7.147805866191634
128,15.0,corrected,1.0263874363832013,3.06334537122546,2.72297366331152
128,15.0,corrected,1.027821989369384,3.74408878705334,3.4037170791394
128,15.0,corrected,1.0292565423555666,2.3826019553972113,2.3826019553972113
128,15.0,corrected,1.0306910953417492,1.02111512374182,1.02111512374182
128,15.0,corrected,1.032125648327932,2.72297366331152,2.04223024748364
128,15.0,corrected,1.0335602013141145,2.7229736633110986,3.063345371224986
128,15.0,corrected,1.034994754300297,1.7018585395697,2.04223024748364
128,15.0,corrected,1.0364293072864799,2.72297366331152,2.72297366331152
128,15.0,corrected,1.0378638602726624,2.042230247483324,2.3826019553972113
128,15.0,corrected,1.039298413258845,2.38260195539758,1.36148683165576
128,15.0,corrected,1.0407329662450278,2.04223024748364,2.72297366331152
128,15.0,corrected,1.0421675192312103,0.0,0.0
128,15.0,corrected,1.0436020722173929,1.7018585395697,1.36148683165576
128,15.0,corrected,1.0450366252035757,0.0,0.34037170791394
128,15.0,corrected,1.0464711781897582,0.0,0.0
128,15.0,corrected,1.0479057311759408,0.34037170791394,0.34037170791394
128,15.0,corrected,1.0493402841621235,0.34037170791394,0.34037170791394
128,15.0,corrected,1.050774837148306,1.021115123741662,1.021115123741662
128,15.0,corrected,1.0522093901344887,0.0,0.0
128,15.0,corrected,1.0536439431206714,0.34037170791394,0.34037170791394
128,15.0,corrected,1.055078496106854,0.0,0.0
128,15.0,corrected,1.0565130490930366,0.0,0.0
128,15.0,corrected,1.0579476020792193,0.34037170791394,0.34037170791394
128,15.0,corrected,1.059382155065402,0.0,0.0
128,15.0,corrected,1.0608167080515845,0.34037170791394,0.34037170791394
256,15.0,open,0.9478162671606764,0.15811706083265087,0.15811706083265087
256,15.0,open,0.9493603170166144,0.31623412166530174,0.15811706083265087
256,15.0,open,0.9509043668725524,0.15811706083265087,0.31623412166530174
