N,Z,closure,realization,max_finite,max_ref,delta_max
512,15.0,corrected,20,1.0521343995300054,1.052123875414147,1.0524115858334682e-05
512,15.0,corrected,21,1.028304507497912,1.028322420496541,-1.7912998629077137e-05
512,15.0,corrected,22,1.021845058688571,1.0218932416814568,-4.818299288578132e-05
512,15.0,corrected,23,1.0202045255569778,1.0202473770189837,-4.285146200588841e-05
512,15.0,corrected,24,1.0389619288088516,1.0389286277550114,3.330105384025117e-05
512,15.0,corrected,25,1.0471767453391856,1.047150271686939,2.6473652246616908e-05
512,15.0,corrected,26,1.0323115157390834,1.032387295020272,-7.577928118851496e-05
512,15.0,corrected,27,1.0283031054976026,1.0284144212293864,-0.00011131573178380094
512,15.0,corrected,28,1.028134073439389,1.028138489670359,-4.416230970027968e-06
512,15.0,corrected,29,1.0256257148555674,1.025619388029667,6.326825900515587e-06
512,15.0,corrected,30,1.0310238530413174,1.0309495098635577,7.434317775967259e-05
512,15.0,corrected,31,1.0218557293693407,1.0218610769501004,-5.347580759762494e-06
512,15.0,corrected,32,1.0271396415320457,1.027212841200361,-7.319966831520475e-05
512,15.0,corrected,33,1.0227653106133447,1.022765447096881,-1.3648353625050902e-07
512,15.0,corrected,34,1.023578902232667,1.0235013601980014,7.754203466547871e-05
512,15.0,corrected,35,1.0433226100730009,1.0433238158110112,-1.2057380103236426e-06
