alpha,rho,q,lambda_inf,mi_gain
0.8,0.3,0.10210176124166828,0.3017102514106853,0.2999951250272448
0.8,0.3,0.10995574287564278,0.319947309997892,0.2993361067827401
0.8,0.3,0.11780972450961726,0.33789813699958837,0.2975965913984238
0.8,0.3,0.12566370614359174,0.35558368917247685,0.29480578945803876
0.8,0.3,0.13351768777756623,0.37302205382847564,0.2909772837433726
0.8,0.3,0.1413716694115407,0.39022898709132114,0.2861096466190439
0.8,0.3,0.1492256510455152,0.40721832691336424,0.28018606384668554
0.8,0.3,0.15707963267948966,0.42400231505140673,0.2731728863959446
0.8,0.3,0.16493361431346415,0.44059185161757086,0.26501685089583066
0.8,0.3,0.17278759594743864,0.45699669886184324,0.2556404438786705
0.8,0.3,0.1806415775814131,0.4732256461578377,0.2449344310488005
0.8,0.3,0.1884955592153876,0.48928664494257834,0.2327457111234969
0.8,0.3,0.1963495408493621,0.5051869201049817,0.21885686605138038
0.8,0.3,0.20420352248333656,0.5209330627102962,0.20294970263946763
0.8,0.3,0.21205750411731106,0.536531107784691,0.18453464457967467
0.8,0.3,0.21991148575128555,0.5519866000307119,0.16279666275744728
0.8,0.3,0.22776546738526002,0.5673046497099659,0.13619186555529825
0.8,0.3,0.2356194490192345,0.582489980452223,0.10099213308026846
0.8,0.3,0.24347343065320898,0.597546970387276,0.03828577298884647
0.8,0.3,0.25132741228718347,0.6124796877171925,0.0
0.8,0.3,0.25918139392115797,0.6272919216304733,0.0
0.8,0.3,0.26703537555513246,0.6419872092905679,0.0
0.8,0.3,0.2748893571891069,0.6565688594979135,0.0
0.8,0.3,0.2827433388230814,0.6710399735186996,0.0
0.8,0.3,0.2905973204570559,0.6854034634887989,0.0
0.8,0.3,0.2984513020910304,0.6996620687329762,0.0
0.8,0.3,0.3063052837250049,0.713818370284101,0.0
0.8,0.3,0.3141592653589793,0.7278748038419103,0.0
0.8,0.3,0.3220132469929538,0.7418336713737934,0.0
0.8,0.3,0.3298672286269283,0.7556971515295159,0.0
0.8,0.3,0.3377212102609028,0.7694673090164625,0.0
0.8,0.3,0.3455751918948773,0.783146103060876,0.0
0.8,0.3,0.3534291735288518,0.7967353950629199,0.0
0.8,0.3,0.3612831551628262,0.8102369555385687,0.0
0.8,0.3,0.3691371367968007,0.8236524704287997,0.0
0.8,0.3,0.3769911184307752,0.8369835468459725,0.0
0.8,0.3,0.3848451000647497,0.8502317183182662,0.0
0.8,0.3,0.3926990816987242,0.8633984495853577,0.0
0.8,0.3,0.40055306333269863,0.8764851409919325,0.0
0.8,0.3,0.4084070449666731,0.8894931325199711,0.0
0.8,0.3,0.4162610266006476,0.902423707495875,0.0
0.8,0.3,0.4241150082346221,0.9152780960042923,0.0
0.8,0.3,0.4319689898685966,0.9280574780368305,0.0
0.8,0.3,0.4398229715025711,0.9407629864007019,0.0
0.8,0.3,0.44767695313654554,0.9533957094095433,0.0
0.8,0.3,0.45553093477052004,0.9659566933762667,0.0
0.8,0.3,0.46338491640449453,0.9784469449256541,0.0
0.8,0.3,0.471238898038469,0.9908674331425709,0.0
0.8,0.3,0.4790928796724435,1.003219091570013,0.0
0.8,0.3,0.48694686130641796,1.0155028200697815,0.0
