alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,1.4137166941154071,2.113441001156961,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4215706757493816,2.120325235030869,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.429424657383356,2.127174016357557,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4372786390173304,2.133987421511974,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4451326206513049,2.140765525876883,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4529866022852795,2.1475084038595678,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.460840583919254,2.154216128908133,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4686945655532284,2.160888773527456,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4765485471872029,2.167526409294759,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4844025288211773,2.1741291068748443,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.492256510455152,2.1806969360349804,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5001104920891264,2.187229965659462,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5079644737231008,2.1937282637638384,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5158184553570753,2.20019189750884,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5236724369910497,2.2066209332139928,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5315264186250244,2.213015436370928,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5393804002589988,2.2193754716564174,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5472343818929732,2.225701102945114,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5550883635269477,2.231992393322032,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.562942345160922,2.238249405094736,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5707963267948968,2.244472199805295,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5786503084288712,2.2506608382419704,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.5865042900628457,2.2568153804506585,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.59435827169682,2.262935885746087,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6022122533307943,2.269022412722792,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6100662349647692,2.2750750192658447,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6179202165987436,2.2810937625613805,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.625774198232718,2.2870786991068863,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6336281798666925,2.293029884721287,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.641482161500667,2.298947374554837,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6493361431346416,2.3048312230987835,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.657190124768616,2.310681484194856,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6650441064025905,2.3164982110445558,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.672898088036565,2.3222814562182585,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6807520696705394,2.3280312716641287,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.688606051304514,2.3337477087168743,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.6964600329384885,2.3394308181063,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.704314014572463,2.3450806499657157,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7121679962064371,2.350697253840167,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7200219778404118,2.356280678694505,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7278759594743864,2.361830972921298,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7357299411083609,2.367348184348594,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.743583922742335,2.372832360247528,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7514379043763098,2.378283547339779,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7592918860102844,2.383701791804891,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7671458676442588,2.38908713928745,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7749998492782333,2.39443963490412,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7828538309122075,2.3997593232505525,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7907078125461822,2.40504624840816,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.7985617941801568,2.4103004539507555,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8064157758141317,2.415521982951085,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8142697574481057,2.4207108779872177,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.82212373908208,2.425867181148822,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8299777207160544,2.4309909340433413,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8378317023500288,2.4360821778020214,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.845685683984004,2.4411409530858634,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.853539665617978,2.446167300091437,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8613936472519528,2.451161258556607,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.869247628885927,2.456122867766139,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.8771016105199017,2.4610521665572187,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
